impute,inputmatrix,featsel,featext,response,models,penalty
no,original,varThreshold,no,numerical,NN,ridge
no,original,varThreshold,pca,binary,regression,no
no,original,varThreshold,pca,binary,regression,lasso
no,original,varThreshold,pca,binary,regression,ridge
no,original,varThreshold,pca,binary,RF,no
no,original,varThreshold,pca,binary,RF,lasso
no,original,varThreshold,pca,binary,RF,ridge
no,original,varThreshold,pca,binary,NN,no
no,original,varThreshold,pca,binary,NN,lasso
no,original,varThreshold,pca,binary,NN,ridge
no,original,varThreshold,pca,numerical,regression,no
no,original,varThreshold,pca,numerical,regression,lasso
no,original,varThreshold,pca,numerical,regression,ridge
no,original,varThreshold,pca,numerical,RF,no
no,original,varThreshold,pca,numerical,RF,lasso
no,original,varThreshold,pca,numerical,RF,ridge
no,original,varThreshold,pca,numerical,NN,no
no,original,varThreshold,pca,numerical,NN,lasso
no,original,varThreshold,pca,numerical,NN,ridge
no,original,varThreshold,tsne,binary,regression,no
no,original,varThreshold,tsne,binary,regression,lasso
no,original,varThreshold,tsne,binary,regression,ridge
no,original,varThreshold,tsne,binary,RF,no
no,original,varThreshold,tsne,binary,RF,lasso
no,original,varThreshold,tsne,binary,RF,ridge
no,original,varThreshold,tsne,binary,NN,no
no,original,varThreshold,tsne,binary,NN,lasso
no,original,varThreshold,tsne,binary,NN,ridge
no,original,varThreshold,tsne,numerical,regression,no
no,original,varThreshold,tsne,numerical,regression,lasso
no,original,varThreshold,tsne,numerical,regression,ridge
no,original,varThreshold,tsne,numerical,RF,no
no,original,varThreshold,tsne,numerical,RF,lasso
no,original,varThreshold,tsne,numerical,RF,ridge
no,original,varThreshold,tsne,numerical,NN,no
no,original,varThreshold,tsne,numerical,NN,lasso
no,original,varThreshold,tsne,numerical,NN,ridge
no,snp,no,no,binary,regression,no
no,snp,no,no,binary,regression,lasso
no,snp,no,no,binary,regression,ridge
no,snp,no,no,binary,RF,no
no,snp,no,no,binary,RF,lasso
no,snp,no,no,binary,RF,ridge
no,snp,no,no,binary,NN,no
no,snp,no,no,binary,NN,lasso
no,snp,no,no,binary,NN,ridge
no,snp,no,no,numerical,regression,no
no,snp,no,no,numerical,regression,lasso
no,snp,no,no,numerical,regression,ridge
no,snp,no,no,numerical,RF,no
no,snp,no,no,numerical,RF,lasso
no,snp,no,no,numerical,RF,ridge
no,snp,no,no,numerical,NN,no
no,snp,no,no,numerical,NN,lasso
no,snp,no,no,numerical,NN,ridge
no,snp,no,pca,binary,regression,no
no,snp,no,pca,binary,regression,lasso
